"The Fith Element", 5
"Fight Club", 5
"Office Space", 5
"Goodfellas", 3
"The Shawshank Redemption", 3
"Alien", 3
"The Terminator", 3
"The Count of Monte Cristo", 3
"Aliens", 2
"The Matrix", 2
"The Dark Knight", 2
"The Dark Kight Rises", 2
"Star Wars: Episode VI - Return of the Jedi", 2
"The Avengers", 1
"The Lord of the Rings: The Two Towers", 1
"Terminator 2: Judgment Day", 1
"The Departed", 1
"Lord of War", 1
"Pandorum", 1
"Inception", 1
"Batman Begins", 1
"Law Abiding Citizen", 1
"Stone (1974)", 1
